veh_type,vel,mean,std,norm_min,norm_max
100,0.0,-7.5,0.3,-3.3333333333333335,3.3333333333333335
100,10.0,-7.4,0.3,-3.3333333333333335,3.3333333333333335
100,20.0,-7.3,0.30000000000000016,-3.3333333333333344,3.3333333333333317
100,30.0,-7.2,0.2999999999999998,-3.333333333333332,3.3333333333333353
100,40.0,-7.1,0.3,-3.3333333333333335,3.3333333333333335
100,50.0,-7.0,0.3,-3.3333333333333335,3.3333333333333335
100,60.0,-6.9,0.3,-3.3333333333333335,3.3333333333333335
100,70.0,-6.8,0.3,-3.3333333333333335,3.3333333333333335
100,80.0,-6.7,0.3,-3.3333333333333335,3.3333333333333335
100,90.0,-6.6,0.3,-3.3333333333333335,3.3333333333333335
100,100.0,-6.5,0.3,-3.3333333333333335,3.3333333333333335
100,110.0,-6.4,0.3,-3.3333333333333335,3.3333333333333335
100,120.0,-6.3,0.3,-3.3333333333333335,3.3333333333333335
100,130.0,-6.2,0.3,-3.3333333333333335,3.3333333333333335
100,140.0,-6.1,0.3,-3.3333333333333335,3.3333333333333335
100,150.0,-6.0,0.3,-3.3333333333333335,3.3333333333333335
100,160.0,-5.9,0.3,-3.3333333333333335,3.3333333333333335
100,170.0,-5.8,0.3,-3.3333333333333335,3.3333333333333335
100,180.0,-5.7,0.3,-3.3333333333333335,3.3333333333333335
100,190.0,-5.6,0.3,-3.3333333333333335,3.3333333333333335
100,200.0,-5.5,0.3,-3.3333333333333335,3.3333333333333335
100,210.0,-5.4,0.3,-3.3333333333333335,3.3333333333333335
100,220.0,-5.3,0.3,-3.3333333333333335,3.3333333333333335
100,230.0,-5.2,0.3,-3.3333333333333335,3.3333333333333335
100,240.0,-5.1,0.3,-3.3333333333333335,3.3333333333333335
200,0.0,-5.5,0.15,-3.3333333333333335,3.3333333333333335
200,10.0,-5.5,0.15,-3.3333333333333335,3.3333333333333335
200,20.0,-5.5,0.15,-3.3333333333333335,3.3333333333333335
200,30.0,-5.5,0.15,-3.3333333333333335,3.3333333333333335
200,40.0,-5.5,0.15,-3.3333333333333335,3.3333333333333335
200,50.0,-5.5,0.15,-3.3333333333333335,3.3333333333333335
200,60.0,-5.5,0.15,-3.3333333333333335,3.3333333333333335
200,70.0,-5.5,0.15,-3.3333333333333335,3.3333333333333335
200,80.0,-5.5,0.15,-3.3333333333333335,3.3333333333333335
200,90.0,-5.5,0.15,-3.3333333333333335,3.3333333333333335
200,100.0,-5.5,0.15,-3.3333333333333335,3.3333333333333335
200,110.0,-5.5,0.15,-3.3333333333333335,3.3333333333333335
200,120.0,-5.5,0.15,-3.3333333333333335,3.3333333333333335
200,130.0,-5.5,0.15,-3.3333333333333335,3.3333333333333335
200,140.0,-5.5,0.15,-3.3333333333333335,3.3333333333333335
200,150.0,-5.5,0.15,-3.3333333333333335,3.3333333333333335
200,160.0,-5.5,0.15,-3.3333333333333335,3.3333333333333335
200,170.0,-5.5,0.15,-3.3333333333333335,3.3333333333333335
200,180.0,-5.5,0.15,-3.3333333333333335,3.3333333333333335
200,190.0,-5.5,0.15,-3.3333333333333335,3.3333333333333335
200,200.0,-5.5,0.15,-3.3333333333333335,3.3333333333333335
200,210.0,-5.5,0.15,-3.3333333333333335,3.3333333333333335
200,220.0,-5.5,0.15,-3.3333333333333335,3.3333333333333335
200,230.0,-5.5,0.15,-3.3333333333333335,3.3333333333333335
200,240.0,-5.5,0.15,-3.3333333333333335,3.3333333333333335
