scenario,autonomous_percentage,connected_percentage,input_per_lane
highway_in_and_out_lanes,0,0,500
highway_in_and_out_lanes,0,0,1000
highway_in_and_out_lanes,0,0,1500
highway_in_and_out_lanes,0,0,2000
highway_in_and_out_lanes,0,0,2500
highway_in_and_out_lanes,25,0,1500
highway_in_and_out_lanes,25,0,2000
highway_in_and_out_lanes,25,0,2500
highway_in_and_out_lanes,50,0,1500
highway_in_and_out_lanes,50,0,2000
highway_in_and_out_lanes,50,0,2500
highway_in_and_out_lanes,75,0,1500
highway_in_and_out_lanes,75,0,2000
highway_in_and_out_lanes,75,0,2500
highway_in_and_out_lanes,100,0,500
highway_in_and_out_lanes,100,0,1000
highway_in_and_out_lanes,100,0,1500
highway_in_and_out_lanes,100,0,2000
highway_in_and_out_lanes,100,0,2500
highway_in_and_merge,0,0,1000
highway_in_and_merge,0,0,1500
highway_in_and_merge,0,0,2000
highway_in_and_merge,100,0,1000
highway_in_and_merge,100,0,1500
highway_in_and_merge,100,0,2000
highway_in_and_merge,0,25,2000
highway_in_and_merge,0,50,2000
highway_in_and_merge,0,75,2000
highway_in_and_merge,0,100,1000
highway_in_and_merge,0,100,1500
highway_in_and_merge,0,100,2000
